
> social-dashboard-frontend@0.1.0 dev
> vite --host

Port 5173 is in use, trying another one...

  VITE v5.4.21  ready in 167 ms
12:43:04 PM [vite] hmr update /src/App.jsx
12:44:29 PM [vite] hmr update /src/App.jsx
12:44:49 PM [vite] hmr update /src/App.jsx
12:45:38 PM [vite] hmr update /src/App.jsx
12:46:22 PM [vite] hmr update /src/App.jsx
12:46:50 PM [vite] hmr update /src/App.jsx
/postcss/lib/parse.js:11:12)
      at new LazyResult (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/postcss/lib/lazy-result.js:165:16)
      at Processor.process (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/postcss/lib/processor.js:53:14)
      at compileCSS (file:///home/user/GitRepos/social-media-dashboard/frontend/node_modules/vite/dist/node/chunks/dep-BK3b2jBa.js:36898:59)
      at async TransformPluginContext.transform (file:///home/user/GitRepos/social-media-dashboard/frontend/node_modules/vite/dist/node/chunks/dep-BK3b2jBa.js:36171:11)
      at async PluginContainer.transform (file:///home/user/GitRepos/social-media-dashboard/frontend/node_modules/vite/dist/node/chunks/dep-BK3b2jBa.js:49099:18)
      at async loadAndTransform (file:///home/user/GitRepos/social-media-dashboard/frontend/node_modules/vite/dist/node/chunks/dep-BK3b2jBa.js:51978:27)
      at async viteTransformMiddleware (file:///home/user/GitRepos/social-media-dashboard/frontend/node_modules/vite/dist/node/chunks/dep-BK3b2jBa.js:62106:24)
11:47:12 AM [vite] hmr update /src/styles.css
11:52:34 AM [vite] hmr update /src/App.jsx
11:53:03 AM [vite] hmr update /src/App.jsx
11:53:12 AM [vite] hmr update /src/App.jsx
11:53:23 AM [vite] hmr update /src/styles.css
11:56:14 AM [vite] hmr update /src/App.jsx
11:59:39 AM [vite] hmr update /src/App.jsx
11:59:46 AM [vite] hmr update /src/App.jsx
11:59:54 AM [vite] hmr update /src/styles.css
12:00:00 PM [vite] hmr update /src/App.jsx
12:00:14 PM [vite] hmr update /src/App.jsx
12:18:18 PM [vite] hmr update /src/App.jsx
12:40:21 PM [vite] hmr update /src/App.jsx
12:40:29 PM [vite] hmr update /src/App.jsx
12:41:30 PM [vite] hmr update /src/App.jsx
12:42:50 PM [vite] hmr update /src/App.jsx
12:42:59 PM [vite] hmr update /src/App.jsx
12:46:06 PM [vite] hmr update /src/App.jsx
12:46:41 PM [vite] hmr update /src/App.jsx
12:49:11 PM [vite] hmr update /src/App.jsx
12:52:15 PM [vite] hmr update /src/App.jsx
1:26:14 PM [vite] hmr update /src/App.jsx
1:27:16 PM [vite] hmr update /src/App.jsx
1:27:30 PM [vite] hmr update /src/App.jsx
1:29:11 PM [vite] hmr update /src/styles.css
11:01:55 AM [vite] hmr update /src/App.jsx
11:02:26 AM [vite] hmr update /src/App.jsx
11:02:35 AM [vite] hmr update /src/App.jsx
11:03:15 AM [vite] hmr update /src/App.jsx
11:03:24 AM [vite] hmr update /src/App.jsx
11:09:48 AM [vite] hmr update /src/App.jsx
11:09:54 AM [vite] hmr update /src/App.jsx
11:10:06 AM [vite] hmr update /src/App.jsx
11:11:16 AM [vite] hmr update /src/App.jsx
11:17:08 AM [vite] hmr update /src/App.jsx
11:18:48 AM [vite] hmr update /src/App.jsx
11:19:02 AM [vite] hmr update /src/App.jsx
11:19:16 AM [vite] hmr update /src/styles.css
11:19:46 AM [vite] hmr update /src/App.jsx
11:19:54 AM [vite] hmr update /src/App.jsx
11:20:02 AM [vite] hmr update /src/App.jsx
11:20:11 AM [vite] hmr update /src/App.jsx
11:26:14 AM [vite] hmr update /src/App.jsx
11:26:37 AM [vite] hmr update /src/App.jsx
11:26:51 AM [vite] hmr update /src/App.jsx
11:30:39 AM [vite] hmr update /src/styles.css
11:31:19 AM [vite] hmr update /src/App.jsx
11:31:41 AM [vite] hmr update /src/App.jsx
11:31:57 AM [vite] hmr update /src/App.jsx
11:32:22 AM [vite] hmr update /src/App.jsx
11:32:31 AM [vite] hmr update /src/App.jsx
11:32:59 AM [vite] hmr update /src/App.jsx
11:35:17 AM [vite] hmr update /src/styles.css
11:37:33 AM [vite] hmr update /src/App.jsx
11:39:02 AM [vite] hmr update /src/App.jsx
11:45:38 AM [vite] hmr update /src/App.jsx
11:52:27 AM [vite] hmr update /src/App.jsx
11:52:59 AM [vite] hmr update /src/App.jsx
11:53:24 AM [vite] hmr update /src/App.jsx
11:53:37 AM [vite] hmr update /src/App.jsx
11:54:14 AM [vite] hmr update /src/App.jsx
11:54:52 AM [vite] hmr update /src/App.jsx
11:54:52 AM [vite] Internal server error: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx: Missing semicolon. (217:28)

  215 |         })
  216 |       });
> 217 |       const data = await res if (data.detail.json();
      |                             ^
  218 |       
  219 |      ) {
  220 |         setAiError(data.detail);
  Plugin: vite:react-babel
  File: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx:217:28
  215|          })
  216|        });
  217|        const data = await res if (data.detail.json();
     |                              ^
  218|        
  219|       ) {
      at constructor (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:365:19)
      at JSXParserMixin.raise (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6599:19)
      at JSXParserMixin.semicolon (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6895:10)
      at JSXParserMixin.parseVarStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13231:10)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12851:23)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseTryStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13205:23)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12804:21)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseFunctionBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12100:24)
      at JSXParserMixin.parseArrowExpression (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12075:10)
      at JSXParserMixin.parseAsyncArrowFromCallExpression (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11264:10)
      at JSXParserMixin.parseCoverCallAndAsyncArrowHead (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11194:27)
      at JSXParserMixin.parseSubscript (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11120:19)
      at JSXParserMixin.parseSubscripts (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11094:19)
      at JSXParserMixin.parseExprSubscripts (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11085:17)
      at JSXParserMixin.parseUpdate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11066:21)
      at JSXParserMixin.parseMaybeUnary (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11046:23)
      at JSXParserMixin.parseMaybeUnaryOrPrivate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10899:61)
      at JSXParserMixin.parseExprOps (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10904:23)
      at JSXParserMixin.parseMaybeConditional (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10881:23)
      at JSXParserMixin.parseMaybeAssign (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10831:21)
      at /home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10800:39
      at JSXParserMixin.allowInAnd (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12421:16)
      at JSXParserMixin.parseMaybeAssignAllowIn (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10800:17)
      at JSXParserMixin.parseVar (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13384:91)
      at JSXParserMixin.parseVarStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13230:10)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12851:23)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseFunctionBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12100:24)
      at JSXParserMixin.parseFunctionBodyAndFinish (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12086:10)
      at /home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13445:12
      at JSXParserMixin.withSmartMixTopicForbiddingContext (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12403:14)
      at JSXParserMixin.parseFunction (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13444:10)
      at JSXParserMixin.parseFunctionStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13125:17)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12791:21)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseModuleItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12744:17)
11:54:52 AM [vite] Internal server error: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx: Missing semicolon. (217:28)

  215 |         })
  216 |       });
> 217 |       const data = await res if (data.detail.json();
      |                             ^
  218 |       
  219 |      ) {
  220 |         setAiError(data.detail);
  Plugin: vite:react-babel
  File: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx:217:28
  215|          })
  216|        });
  217|        const data = await res if (data.detail.json();
     |                              ^
  218|        
  219|       ) {
      at constructor (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:365:19)
      at JSXParserMixin.raise (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6599:19)
      at JSXParserMixin.semicolon (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6895:10)
      at JSXParserMixin.parseVarStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13231:10)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12851:23)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseTryStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13205:23)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12804:21)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseFunctionBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12100:24)
      at JSXParserMixin.parseArrowExpression (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12075:10)
      at JSXParserMixin.parseAsyncArrowFromCallExpression (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11264:10)
      at JSXParserMixin.parseCoverCallAndAsyncArrowHead (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11194:27)
      at JSXParserMixin.parseSubscript (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11120:19)
      at JSXParserMixin.parseSubscripts (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11094:19)
      at JSXParserMixin.parseExprSubscripts (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11085:17)
      at JSXParserMixin.parseUpdate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11066:21)
      at JSXParserMixin.parseMaybeUnary (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11046:23)
      at JSXParserMixin.parseMaybeUnaryOrPrivate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10899:61)
      at JSXParserMixin.parseExprOps (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10904:23)
      at JSXParserMixin.parseMaybeConditional (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10881:23)
      at JSXParserMixin.parseMaybeAssign (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10831:21)
      at /home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10800:39
      at JSXParserMixin.allowInAnd (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12421:16)
      at JSXParserMixin.parseMaybeAssignAllowIn (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10800:17)
      at JSXParserMixin.parseVar (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13384:91)
      at JSXParserMixin.parseVarStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13230:10)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12851:23)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseFunctionBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12100:24)
      at JSXParserMixin.parseFunctionBodyAndFinish (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12086:10)
      at /home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13445:12
      at JSXParserMixin.withSmartMixTopicForbiddingContext (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12403:14)
      at JSXParserMixin.parseFunction (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13444:10)
      at JSXParserMixin.parseFunctionStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13125:17)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12791:21)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseModuleItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12744:17)
11:55:01 AM [vite] hmr update /src/App.jsx
11:55:01 AM [vite] Internal server error: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx: Unexpected token (219:5)

  217 |       const data = await res.json();
  218 |       
> 219 |      ) {
      |      ^
  220 |         setAiError(data.detail);
  221 |       } else if (data.content) {
  222 |         setAiContent(data.content);
  Plugin: vite:react-babel
  File: /home/user/GitRepos/social-media-dashboard/frontend/src/App.jsx:219:5
  217|        const data = await res.json();
  218|        
  219|       ) {
     |       ^
  220|          setAiError(data.detail);
  221|        } else if (data.content) {
      at constructor (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:365:19)
      at JSXParserMixin.raise (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6599:19)
      at JSXParserMixin.unexpected (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:6619:16)
      at JSXParserMixin.parseExprAtom (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11442:22)
      at JSXParserMixin.parseExprAtom (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:4764:20)
      at JSXParserMixin.parseExprSubscripts (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11081:23)
      at JSXParserMixin.parseUpdate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11066:21)
      at JSXParserMixin.parseMaybeUnary (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:11046:23)
      at JSXParserMixin.parseMaybeUnaryOrPrivate (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10899:61)
      at JSXParserMixin.parseExprOps (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10904:23)
      at JSXParserMixin.parseMaybeConditional (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10881:23)
      at JSXParserMixin.parseMaybeAssign (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10831:21)
      at JSXParserMixin.parseExpressionBase (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10784:23)
      at /home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10780:39
      at JSXParserMixin.allowInAnd (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12421:16)
      at JSXParserMixin.parseExpression (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:10780:17)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12895:23)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
      at JSXParserMixin.parseStatementListItem (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12747:17)
      at JSXParserMixin.parseBlockOrModuleBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13316:61)
      at JSXParserMixin.parseBlockBody (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13309:10)
      at JSXParserMixin.parseBlock (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13297:10)
      at JSXParserMixin.parseTryStatement (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:13205:23)
      at JSXParserMixin.parseStatementContent (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12804:21)
      at JSXParserMixin.parseStatementLike (/home/user/GitRepos/social-media-dashboard/frontend/node_modules/@babel/parser/lib/index.js:12767:17)
